SITE NAME,GLOBAL ID,SITE_TYPE,STATUS,ADDRESS,CITY,LATITUDE,LONGITUDE
PEBBLY BEACH LANDFILL,L10007454208,LAND DISPOSAL SITE,OPEN - OPERATING,1 DUMP,AVALON,33.32949939,-118.3093794
"R&S SOIL PRODUCTS, INC., COMPOSTING FAC",T10000009587,LAND DISPOSAL SITE,OPEN - OPERATING,1 MAGAZINE ROAD,IRVINE,33.66963565,-117.7044682
RECOLOGY BLOSSOM VALLEY ORGANICS NORTH,T10000010032,LAND DISPOSAL SITE,OPEN - ACTIVE,3909 GAFFERY ROAD,VERNALIS,37.59773,-121.31464
RECOLOGY BLOSSOM VALLEY ORGANICS-SOUTH,L10007377779,LAND DISPOSAL SITE,OPEN - OPERATING,6061 NORTH WHEELER RIDGE ROAD,LAMONT,35.2039786,-118.9250092
RECOLOGY HAY ROAD (FORMERLY NORCAL WASTE-HAY ROAD LANDFILL;  FORMERLY B&J LANDFILL),L10007011530,LAND DISPOSAL SITE,OPEN - OPERATING,6426 HAY,VACAVILLE,38.31370678,-121.8359482
RECYCLED WOOD PRODUCTS (RWP) MORENO VALLEY,T10000009586,LAND DISPOSAL SITE,OPEN - ACTIVE,34005 GILMAN SPRINGS DRIVE,MORENO VALLEY,33.88567,-117.06943
RECYCLED WOOD PRODUCTS (RWP) ONTARIO 2,T10000010164,LAND DISPOSAL SITE,OPEN - OPERATING,13905 WALKER AVENUE,ONTARIO,34.00294899,-117.6179165
RED STAR PLANT FOODS - COMPOSTING,T10000009585,LAND DISPOSAL SITE,OPEN - OPERATING,8100 CHINO CORONA ROAD,CHINO,33.94838718,-117.6308852
SA RECYCLING LLC,WDD100008949,LAND DISPOSAL SITE,OPEN - OPERATING,29250 RIO DEL SOL ROAD,THOUSAND PALMS,33.83763,-116.40514
SANTA CLARITA COMPOSTING - FOOTHILL SOILS,L10009947909,LAND DISPOSAL SITE,OPEN - VERIFICATION MONITORING,22925 COLTRANE,NEWHALL,34.34092299,-118.5276974
SOUTH KERN INDUSTRIAL CENTER COMPOSTING FACILITY,L10003906752,LAND DISPOSAL SITE,OPEN - OPERATING,19855 SOUTH LAKE ROAD,TAFT,35.13070334,-119.2436976
SOUTHERN CALIFORNIA LANDSCAPE SUPPLY COMPOSTING FAC,T10000003523,LAND DISPOSAL SITE,OPEN - OPERATING,17520 BRIDGE STREET,LAKEVIEW,33.86614844,-117.0461404
TRACY MATERIAL RECOVERY AND TRANSFER STATION,T10000010231,LAND DISPOSAL SITE,OPEN - OPERATING,30703 SOUTH MACARTHUR DRIVE,TRACY,37.67594,-121.41743
TRIPLE J FARMS,T10000010312,LAND DISPOSAL SITE,OPEN - OPERATING,10330 LA GRANGE ROAD,JAMESTOWN,37.79986,-120.47334
TURNING LEAF ORGANICS,T10000011132,LAND DISPOSAL SITE,OPEN - PROPOSED,25948 ROAD 92,TULARE,36.26095,-119.36449
VICINI BROTHERS GREEN MATERIAL RECYCLING,T10000010229,LAND DISPOSAL SITE,OPEN - OPERATING,15500 WILLOW CREEK ROAD,PLYMOUTH,38.44065627,-120.8965455
VISION RECYCLING BENICIA COMPOST FACILITY,WDD100009936,LAND DISPOSAL SITE,OPEN - ACTIVE,1460 GOODYEAR ROAD,BENICIA,38.09498,-122.10504
VISION RECYCLING GREENVILLE ROAD COMPOST FACILITY,WDD100009938,LAND DISPOSAL SITE,OPEN - ACTIVE,30 GREENVILLE ROAD,LIVERMORE,37.7105,-121.69117
"WEST COAST WASTE, INC. - MADERA ORGANIC FACILITY",T10000009378,LAND DISPOSAL SITE,OPEN - OPERATING,9537 ROAD 29 1/2,MADERA,36.88849,-120.00811
WEST CONTRA COSTA LANDFILL,L10007627566,LAND DISPOSAL SITE,OPEN - CLOSED/WITH MONITORING,1 PARR BLVD,RICHMOND,37.96765751,-122.3880429
WESTERN PLACER COMPOST FAC,L10007475187,LAND DISPOSAL SITE,OPEN - OPERATING,ATHENS & FIDDYMENT RDS,LINCOLN,38.83671669,-121.3461863
WESTLAKE FARMS  COMPOSTING FACILITY (AKA TULARE LAKE COMPOST),T10000008149,LAND DISPOSAL SITE,OPEN - OPERATING,34318 23RD AVENUE,KETTLEMAN CITY,35.97429,-119.88407
WOOD INDUSTRIES COMPANY COMPOSTING FACILITY,T10000011133,LAND DISPOSAL SITE,OPEN - OPERATING,7715 AVENUE 296,VISALIA,36.31844121,-119.4048577
YUBA-SUTTER COMPOST FACILITY,L10009551489,LAND DISPOSAL SITE,OPEN,3001 LEVEE,MARYSVILLE,39.17039027,-121.5533139
Z-BEST COMPOSTING,T10000008201,LAND DISPOSAL SITE,OPEN - SITE ASSESSMENT,980 STATE HIGHWAY 25,GILROY,36.9481,-121.52402
